date,item.id,quantity
2023-04-01,B00DP8QEDG,1
2023-04-01,B00H2AAXMQ,10
2023-04-01,B01FRQ5DV2,5
2023-04-01,B01FRQ5D4Y,1
2023-04-01,B00C9Z9N34,2
2023-04-01,B01BULR2HG,4
2023-04-01,B002X48WHY,2
2023-04-01,B00H2AAXMQ,4
2023-04-01,B00H2AAXMQ,3
2023-04-01,B00BR4C5W4,3
2023-04-01,B00V3PQZQY,5
2023-04-01,B0001CXUHW,10
2023-04-01,B01FRQ5D4Y,1
2023-04-01,B01FRQ5DV2,5
2023-04-01,B00JPJYBM0,15
2023-04-01,B01FRQ5D4Y,2
2023-04-01,B01FRQ5DV2,10
2023-04-01,B004XWOS72,1
2023-04-01,B0011BPMUK,5
2023-04-01,B00H2AAXMQ,20
2023-04-01,B00017028M,25
2023-04-01,B004YGQK5K,3
2023-04-01,B0001CXUHW,5
2023-04-01,B00KROYN1Q,10
2023-04-01,B00O0X7GKA,2
2023-04-01,B00H2AAXMQ,10
2023-04-01,B001KUWEIK,4
2023-04-01,B002P8AQJ0,15
2023-04-01,B00DC49DI6,6
2023-04-01,B00KPX1W4U,3
2023-04-01,B00H2AAXMQ,20
2023-04-01,B01FRQ5DV2,5
2023-04-01,B001U5Q170,5
2023-04-01,B00H2AAXMQ,10
2023-04-01,B007XA49BG,5
2023-04-01,B00H2AAXMQ,3
2023-04-01,B00FCZHEAW,15
2023-04-01,B01FRQ5DV2,20
2023-04-01,B01FRQ5DV2,2
2023-04-01,B0000E5JRZ,5
2023-04-01,B00017028M,10
2023-04-01,B00SLMZHTI,5
2023-04-01,B00017028M,4
2023-04-01,B00AQZ80ZG,5
2023-04-01,B009D2N972,2
2023-04-01,B00017028M,3
2023-04-01,B015SAX8ZA,3
2023-04-01,B00F8FHRF8,5
2023-04-01,B00Q04HQR0,2
2023-04-01,B011LWRBES,3
2023-04-01,B000EYC096,1
2023-04-01,B00017028M,5
2023-04-01,B0112UXTLI,2
2023-04-01,B01FRQ5D4Y,2
2023-04-01,B01FRQ5DV2,2
2023-04-01,B000LQJG9O,4
2023-04-01,B00OVHVYEY,4
2023-04-01,B004K69OMU,2
2023-04-01,B00H2AAXMQ,5
2023-04-01,B006THKS7I,15
2023-04-01,B01FRQ5DV2,3
2023-04-01,B00785JSEO,15
2023-04-01,B000I7XGOC,5
2023-04-01,B00H2AAXMQ,1
2023-04-01,B01EY6Y3TO,5
2023-04-01,B004YGQK5K,25
2023-04-01,B004YGQK5K,5
2023-04-01,B00H2AAXMQ,1
2023-04-01,B000NO943C,5
2023-04-01,B01FRQ5D4Y,5
2023-04-01,B01E6OLE64,6
2023-04-01,B01FRQ5D4Y,4
2023-04-01,B01FRQ5DV2,15
2023-04-01,B0007KLGFQ,15
2023-04-01,B000LQL9M6,4
2023-04-01,B007XA49BG,2
2023-04-01,B00H2AAXMQ,5
2023-04-01,B00017028M,5
2023-04-01,B00F8FHRF8,15
2023-04-01,B0086DEOHS,4
2023-04-01,B00KPX1W4U,10
2023-04-01,B01FRQ5D4Y,3
2023-04-01,B00H2AAXMQ,15
2023-04-01,B007PM9YM6,5
2023-04-01,B01FRQ5D4Y,3
2023-04-01,B00GOBLEF4,3
2023-04-01,B004YGQK5K,3
2023-04-01,B005TBURAI,5
2023-04-01,B007XA49BG,15
2023-04-01,B00H2AAXMQ,3
2023-04-01,B00H2AAXMQ,3
2023-04-01,B0001CXUHW,15
2023-04-01,B01FRQ5DV2,4
2023-04-01,B0007OVWKG,2
2023-04-01,B0170BLY9M,10
2023-04-01,B000AXW9ZQ,5
2023-04-01,B0001CXUHW,2
2023-04-01,B01FRQ5D4Y,3
2023-04-01,B01FRQ5D4Y,5
2023-04-01,B01FRQ5D4Y,4
2023-04-01,B001CDVCBU,5
2023-04-01,B00CSPMB9I,10
2023-04-01,B0001CXUHW,10
2023-04-01,B005763IYM,4
2023-04-01,B007XA49BG,4
2023-04-01,B00017028M,2
2023-04-01,B00017028M,5
2023-04-01,B01FRQ5D4Y,5
2023-04-01,B00H2AAXMQ,5
2023-04-01,B00H2AAXMQ,10
2023-04-01,B003VF5Y20,10
2023-04-01,B004CHACSM,5
2023-04-01,B00H2AAXMQ,3
2023-04-01,B01FRQ5DV2,2
2023-04-01,B000V937YQ,15
2023-04-01,B010BUF0LC,4
2023-04-01,B01FRQ5DV2,2
2023-04-01,B01FRQ5DV2,5
2023-04-01,B01FRQ5D4Y,4
2023-04-01,B013H9TX58,10
2023-04-01,B00H2AAXMQ,15
2023-04-01,B01FRQ5DV2,3
2023-04-01,B00E3JL3P0,2
2023-04-01,B00H2AAXMQ,5
2023-04-01,B007XA49BG,1
2023-04-01,B01FRQ5D4Y,4
2023-04-01,B005763IYM,5
2023-04-01,B01FRQ5DV2,3
2023-04-01,B004K69OMU,5
2023-04-01,B01FRQ5DV2,10
2023-04-01,B00DUF4DIC,10
2023-04-01,B01FRQ5DV2,3
2023-04-01,B01FRQ5D4Y,10
2023-04-01,B00TGDO9AE,20
2023-04-01,B0013P3KC6,2
2023-04-01,B007XA49BG,10
2023-04-01,B01FRQ5DV2,3
2023-04-01,B00H2AAXMQ,4
2023-04-01,B01FRQ5D4Y,4
2023-04-01,B01FRQ5DV2,20
2023-04-01,B0001N47YG,1
2023-04-01,B000GCS018,2
2023-04-01,B00H2AAXMQ,10
2023-04-01,B01FRQ5DV2,5
2023-04-01,B0041UER5Y,5
2023-04-01,B00E2181U4,3
2023-04-01,B0087RVIOU,10
2023-04-01,B004YGQK5K,6
2023-04-01,B0078DPCL4,4
2023-04-01,B007PS9HTU,15
2023-04-01,B007XA49BG,20
2023-04-01,B00PYM8VLE,5
2023-04-01,B007XA49BG,5
